cell,V_kV,Wsyn_MeV,Wout_pred_MeV,Wout_transoptr_MeV,dW_pred_MeV,dW_transoptr_MeV,Sig0T_deg,Sig0L_deg,A01,A10,Phi_deg,a_cm,m,B,L_cm,Z_cm,k_cm_inv,status
56,55.2,0.35333820759752615,0.36549735419318047,0.36549735419318047,0.012159146595654306,0.012159146595654313,349.44732470232213,34.869967874453664,5.68921034958684,0.23782199125593528,-67.85234899328859,0.36308724832214767,1.2953020134228188,3.3691275167785237,2.5386273716454952,81.23909312614431,1.2375162612201198,mock_ok
57,55.2,0.36549735419318047,0.377832280044194,0.377832280044194,0.012334925851013532,0.012334925851013534,348.67366186019234,35.12111309599047,5.680709222760596,0.24195820485201894,-67.4496644295302,0.36241610738255037,1.3006711409395972,3.3758389261744965,2.581912719887335,83.82100584603165,1.2167695016920945,mock_ok
58,55.2,0.377832280044194,0.3903395213930552,0.3903395213930552,0.012507241348861208,0.01250724134886122,347.90754927164085,35.365578390380115,5.672289576605472,0.246062473983978,-67.04697986577182,0.361744966442953,1.3060402684563759,3.38255033557047,2.6250929630900024,86.44609880912165,1.1967548188814685,mock_ok
59,55.2,0.3903395213930552,0.40301561931633495,0.40301561931633495,0.012676097923279714,0.012676097923279728,347.1489010591243,35.60350814636068,5.663951731273644,0.25013518555554154,-66.64429530201342,0.3610738255033557,1.3114093959731543,3.389261744966443,2.668161302391178,89.11426011151283,1.1774373051488045,mock_ok
60,55.2,0.40301561931633495,0.4158571199429232,0.4158571199429232,0.012841500626588204,0.012841500626588231,346.397632782455,35.835039593375924,5.655695979674592,0.2541767229918767,-66.24161073825503,0.3604026845637584,1.316778523489933,3.395973154362416,2.711111374787193,91.82537148630003,1.1587840628039083,mock_ok
61,55.2,0.4158571199429232,0.42886057461125154,0.42886057461125154,0.013003454668328336,0.013003454668328362,345.6536614099714,36.06030319940243,5.647522590130247,0.2581874651649963,-65.83892617449665,0.3597315436241611,1.3221476510067114,3.402684563758389,2.753937217180046,94.57930870348008,1.1407640791487235,mock_ok
62,55.2,0.42886057461125154,0.4420225399788309,0.4420225399788309,0.01316196536757937,0.013161965367579354,344.9169052904094,36.279423048857005,5.63943180874855,0.2621677855617236,-65.43624161073825,0.35906040268456374,1.32751677852349,3.4093959731543624,2.796633233654115,97.3759419371342,1.123348108641672,mock_ok
63,55.2,0.4420225399788309,0.4553395780951448,0.4553395780951448,0.013317038116313925,0.013317038116313906,344.1872841254575,36.49251720053569,5.631423861547054,0.26611805165285785,-65.03355704697987,0.35838926174496644,1.3328859060402685,3.4161073825503356,2.839194165693194,100.2151361028274,1.106508562024594,mock_ok
64,55.2,0.4553395780951448,0.468808256447003,0.468808256447003,0.013468678351858226,0.013468678351858221,343.4647189429765,36.69969802581245,5.6234989563551565,0.2700386244285063,-64.63087248322148,0.35771812080536913,1.3382550335570471,3.422818791946309,2.881615065049797,103.0967511678772,1.0902194022002392,mock_ok
65,55.2,0.468808256447003,0.48242514798384717,0.48242514798384717,0.013616891536844162,0.013616891536844145,342.7491320708635,36.90107252756234,5.615657284519885,0.273929858070398,-64.2281879194631,0.35704697986577183,1.3436241610738255,3.4295302013422817,2.9238912690331014,106.02064243691031,1.0744560465918704,mock_ok
66,55.2,0.48242514798384717,0.49618683112913514,0.49618683112913514,0.013761683145287973,0.013761683145287973,342.0404471115434,37.09674264040978,5.607899022437705,0.2777920997364281,-63.8255033557047,0.3563758389261745,1.348993288590604,3.436241610738255,2.9660183779757987,108.98666081488611,1.0591952756994776,mock_ok
